City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
Kanlagay,5.8757,121.2915,26.68,77,100,2.75,PH,1632112873
Mataura,-46.1927,168.8643,12.97,65,70,3.18,NZ,1632112541
Nikolskoye,59.7035,30.7861,4.94,77,100,4.23,RU,1632112673
Sørland,67.667,12.6934,10.04,73,100,7.25,NO,1632112875
Mahébourg,-20.4081,57.7,22.16,68,40,4.63,MU,1632112566
Cape Town,-33.9258,18.4232,14.61,82,40,2.68,ZA,1632112558
Pisco,-13.7,-76.2167,16.03,82,90,3.6,PE,1632112598
Jamestown,42.097,-79.2353,12.81,93,1,0.89,US,1632112636
Manokwari,-0.8667,134.0833,27.73,77,98,3.2,ID,1632112862
Praia da Vitória,38.7333,-27.0667,20.14,88,40,4.78,PT,1632112881
Khatanga,71.9667,102.5,0.25,100,100,5.48,RU,1632112548
Pulsano,40.3821,17.3564,23.56,72,11,1.56,IT,1632112883
Qasigiannguit,68.8193,-51.1922,-4.86,71,100,2.1,GL,1632112884
Taltal,-25.4,-70.4833,14.81,76,0,1.64,CL,1632112886
Bredasdorp,-34.5322,20.0403,12.62,71,0,3.6,ZA,1632112623
Port Elizabeth,-33.918,25.5701,14.16,77,0,5.14,ZA,1632112616
Rikitea,-23.1203,-134.9692,23.24,77,9,6.35,PF,1632112533
Kruisfontein,-34.0033,24.7314,11.9,90,19,2.99,ZA,1632112889
Provideniya,64.3833,-173.3,3.06,48,40,5,RU,1632112758
Thompson,55.7435,-97.8558,11.09,87,90,3.6,CA,1632112718
Uyemskiy,64.4743,40.8524,2.03,93,40,2,RU,1632112892
New Norfolk,-42.7826,147.0587,7.88,70,59,2.68,AU,1632112642
Punta Arenas,-53.15,-70.9167,5.06,70,0,4.12,CL,1632112658
Dolores,-36.3132,-57.6792,14.46,96,100,2.76,AR,1632112895
Porto Walter,-8.2686,-72.7439,24.16,67,6,1,BR,1632112897
Hermanus,-34.4187,19.2345,14.33,85,30,7.63,ZA,1632112663
Airai,-8.9266,125.4092,25.75,31,10,3.4,TL,1632112900
Muros,42.7762,-9.0603,12.75,92,11,5.54,ES,1632112901
Itarema,-2.9248,-39.9167,25.41,80,48,6.8,BR,1632112822
Mount Isa,-20.7333,139.5,34.87,15,17,3.6,AU,1632112903
Bulgan,48.8125,103.5347,16.86,59,6,1.86,MN,1632112904
Vestmannaeyjar,63.4427,-20.2734,10.49,89,91,10.41,IS,1632112904
Chokurdakh,70.6333,147.9167,1.29,54,89,4.66,RU,1632112639
Henties Bay,-22.116,14.2845,10.48,91,0,3.13,NA,1632112906
Koutiala,12.3917,-5.4642,23.99,84,8,3.43,ML,1632112908
Lakatoro,-16.0999,167.4164,25.73,72,46,6.28,VU,1632112910
Hobart,-42.8794,147.3294,10.55,61,75,3.13,AU,1632112325
Puerto Ayora,-0.7393,-90.3518,20.86,90,61,3.13,EC,1632112653
Busselton,-33.65,115.3333,16.69,47,0,4.06,AU,1632112569
Kavieng,-2.5744,150.7967,28.78,70,93,2.68,PG,1632112687
Bilma,18.6853,12.9164,27.28,17,0,0.61,NE,1632112913
Ponta do Sol,32.6667,-17.1,21.08,74,57,2.83,PT,1632112915
Atuona,-9.8,-139.0333,25.63,76,11,9.6,PF,1632112780
Olafsvik,64.8945,-23.7142,10.43,91,100,3.69,IS,1632112752
Arraial do Cabo,-22.9661,-42.0278,21.7,90,100,6.04,BR,1632112708
Macao,22.2006,113.5461,30.58,79,40,2.06,MO,1632112918
Taoudenni,22.6783,-3.9836,33.34,19,2,9.86,ML,1632112918
Albany,42.6001,-73.9662,10.86,91,0,0.97,US,1632112262
Azle,32.8951,-97.5459,27.08,63,1,2.24,US,1632112920
Liuhe,42.2401,125.7172,13.85,95,100,2.24,CN,1632112922
Evensk,61.95,159.2333,10.42,77,100,5.68,RU,1632112922
Brae,60.3964,-1.353,10.95,94,5,4.61,GB,1632112702
Ilulissat,69.2167,-51.1,-4.99,58,100,5.66,GL,1632112685
Altamont,42.2068,-121.7372,7.81,74,1,2.06,US,1632112925
Bengkulu,-3.8004,102.2655,28.05,68,34,2.57,ID,1632112840
Cherskiy,68.75,161.3,2.67,46,71,3.69,RU,1632112556
Yellowknife,62.456,-114.3525,6.29,81,75,2.06,CA,1632112531
Metro,-5.1131,105.3067,32.73,48,42,2.59,ID,1632112928
Gornyy,55.1153,83.9059,4.89,68,81,8.68,RU,1632112838
Port Alfred,-33.5906,26.891,15.17,84,59,5.66,ZA,1632112607
Andenes,69.3143,16.1194,6.99,81,0,2.57,NO,1632112929
Bull Savanna,17.8868,-77.5902,24.26,85,31,1.82,JM,1632112931
Saint-Philippe,-21.3585,55.7679,20.18,82,54,6.07,RE,1632112550
College,64.8569,-147.8028,6.63,69,75,1.54,US,1632112933
Ushuaia,-54.8,-68.3,3.81,81,40,13.89,AR,1632112634
Nísia Floresta,-6.0911,-35.2086,25.21,79,56,3.18,BR,1632112935
Green Valley,31.8543,-110.9937,25.62,46,0,0.45,US,1632112937
Drayton Valley,53.2168,-114.9854,5.33,90,99,1.42,CA,1632112938
Quatre Cocos,-20.2078,57.7625,22.83,56,56,5.58,MU,1632112796
Qaanaaq,77.484,-69.3632,-11.74,78,17,3.75,GL,1632112694
Meulaboh,4.1363,96.1285,28.86,64,100,1.85,ID,1632112810
Trat,12.5,102.5,31.11,73,99,1.36,TH,1632112940
Mouila,-1.8685,11.0559,23.12,92,94,1.48,GA,1632112941
Tākestān,36.0696,49.6959,22.07,26,0,0.26,IR,1632112944
Paita,-5.0892,-81.1144,17.29,82,13,5.83,PE,1632112945
Karratha,-20.7377,116.8463,34.44,13,31,7.68,AU,1632112662
Bereda,43.2686,-7.5406,10.64,100,73,1.23,ES,1632112948
Hilo,19.7297,-155.09,23.75,84,90,3.09,US,1632112544
Felanitx,39.4696,3.1483,17.41,79,1,0.52,ES,1632112950
Hithadhoo,-0.6,73.0833,28.59,73,68,3.7,MV,1632112554
Senj,44.9894,14.9058,15.55,90,75,2.89,HR,1632112953
Butaritari,3.0707,172.7902,28.49,68,9,5.16,KI,1632112923
Tasiilaq,65.6145,-37.6368,2.09,65,50,1.86,GL,1632112955
Kapaa,22.0752,-159.319,25.26,72,40,1.34,US,1632112613
Tiksi,71.6872,128.8694,1.65,67,82,8.01,RU,1632112605
Bethel,41.3712,-73.414,13.44,89,1,1.54,US,1632112959
Kamina,-8.7386,24.9906,18.34,80,100,1.52,CD,1632112960
Radenci,46.642,16.0378,9.43,92,100,1.89,SI,1632112962
Kwidzyn,53.7249,18.9311,9.04,87,100,2.03,PL,1632112964
Fort Nelson,58.8053,-122.7002,8.77,76,75,2.06,CA,1632112965
Bumba,2.1833,22.4667,21.35,92,80,0.73,CD,1632112967
Meadow Lake,34.8014,-106.5436,24.15,31,83,7.15,US,1632112969
Shumskiy,54.8318,99.1328,15.51,71,94,4.74,RU,1632112970
Yulara,-25.2406,130.9889,24.91,20,40,9.26,AU,1632112972
Ayr,55.4627,-4.6339,7.39,100,0,2.57,GB,1632112973
Varkala,8.7341,76.7067,30.88,71,62,3.62,IN,1632112974
Miandrivazo,-19.5167,45.4667,25.27,48,76,1.45,MG,1632112976
Mar del Plata,-38.0023,-57.5575,13.01,100,90,4.63,AR,1632112767
Tautira,-17.7333,-149.15,26.01,78,50,7.47,PF,1632112978
Chicama,-7.8447,-79.1469,15.3,84,50,3.11,PE,1632112980
Pevek,69.7008,170.3133,-0.71,69,74,0.75,RU,1632112982
Samarai,-10.6167,150.6667,26.48,85,100,6.88,PG,1632112984
Saint George,37.1041,-113.5841,25.62,21,1,0.89,US,1632112738
Bois-Colombes,48.9167,2.2667,14.15,96,90,0.45,FR,1632112986
Imbituba,-28.24,-48.6703,20.94,98,100,6.15,BR,1632112987
San Cristobal,7.7669,-72.225,18.83,96,85,0.72,VE,1632112989
Norman Wells,65.282,-126.8329,6.02,81,75,1.54,CA,1632112667
Itaueira,-7.6033,-43.0256,24.81,33,68,1.64,BR,1632112991
San Patricio,28.017,-97.5169,27.27,71,0,5.04,US,1632112993
Saskylakh,71.9167,114.0833,0.83,78,100,3.68,RU,1632112772
Wasilla,61.5814,-149.4394,7.81,78,1,0,US,1632112994
Ancud,-41.8697,-73.8203,4.74,88,35,1.76,CL,1632112690
Srednekolymsk,67.45,153.6833,3.89,34,100,8.85,RU,1632112997
Soresina,45.2865,9.857,13.05,86,21,2.29,IT,1632112999
Esmeraldas,-19.7625,-44.3139,26.48,43,52,3.6,BR,1632113000
Casablanca,33.5928,-7.6192,17.08,75,0,1.91,MA,1632113002
Scottsbluff,41.8666,-103.6672,16.61,55,40,6.26,US,1632113004
Soe,-9.8607,124.284,28.99,33,12,5.63,ID,1632112868
Bluff,-46.6,168.3333,12.14,70,85,6.95,NZ,1632112604
Avarua,-21.2078,-159.775,25.03,83,40,5.14,CK,1632112538
Tabas,33.5959,56.9244,31.58,11,0,0.74,IR,1632113008
Zonguldak,41.25,31.8333,14.47,84,5,1.89,TR,1632112759
Rāmshīr,30.8946,49.4092,24.92,15,0,4.81,IR,1632113010
Hobyo,5.3505,48.5268,25.71,79,52,10.05,SO,1632112532
Mbala,-8.8402,31.3659,17.53,68,3,4.13,ZM,1632113012
Williams Lake,52.1415,-122.1445,4.57,89,75,2.57,CA,1632113014
Talnakh,69.4865,88.3972,1.85,69,100,6.07,RU,1632112612
Strezhevoy,60.7333,77.5889,5.99,97,100,4.98,RU,1632113015
Shirokiy,49.758,129.523,17.33,48,8,3.55,RU,1632112908
Serebryansk,49.6925,83.2892,8.75,45,72,4.06,KZ,1632113020
Tuktoyaktuk,69.4541,-133.0374,3,87,20,2.57,CA,1632112665
Nome,64.5011,-165.4064,4.04,57,75,8.23,US,1632113021
Zhigansk,66.7697,123.3711,4.33,55,17,3.77,RU,1632112915
Khovd,48.0056,91.6419,19.84,24,29,8.66,MN,1632112848
Vaini,-21.2,-175.2,24.09,78,20,5.14,TO,1632112601
Stony Plain,53.5334,-114.0021,6.17,81,1,2.57,CA,1632113024
Upernavik,72.7868,-56.1549,-3.71,79,98,4.96,GL,1632112649
Leningradskiy,69.3833,178.4167,-2.76,85,98,6.63,RU,1632112777
Nishihara,26.1842,127.7558,28.6,70,20,4.12,JP,1632113026
Dabat,12.9842,37.765,15.03,72,15,1.7,ET,1632113026
Ugoofaaru,5.6667,73,28.15,77,45,3.89,MV,1632113028
Konëvo,62.1215,39.3192,3.48,72,58,2.05,RU,1632113029
Lufkin,31.3382,-94.7291,24.9,83,1,3.6,US,1632113031
Malumfashi,11.7853,7.6218,21.54,86,36,3.14,NG,1632113032
Ketchikan,55.3422,-131.6461,12.26,94,90,2.06,US,1632113034
Port Augusta,-32.5,137.7667,17.06,37,21,11.58,AU,1632113035
Bone,51.9669,12.1396,11.05,64,100,2.3,DE,1632113036
Deputatsky,69.3,139.9,-3.56,77,100,4.87,RU,1632112908
Bojnourd,37.4747,57.329,18.97,42,0,2.06,IR,1632113039
Moba,33.2288,105.0179,20.24,46,0,1.99,CN,1632113041
Chui,-33.6971,-53.4616,17.12,99,100,1.65,UY,1632112870
Dukat,62.55,155.55,4.26,96,100,1.61,RU,1632113042
Xiangfan,32.0422,112.1448,28.41,51,2,2.18,CN,1632113044
Tual,-5.6667,132.75,26.84,81,57,7.7,ID,1632113045
Bailieborough,53.9167,-6.9667,6.91,98,10,1.58,IE,1632113046
Porto-Novo,6.4965,2.6036,25.9,93,94,2.23,BJ,1632112957
Mobara,35.4167,140.3,26.27,48,17,6.06,JP,1632112944
Naze,28.3667,129.4833,26.51,66,8,1.31,JP,1632112901
Mago,53.2514,140.1822,14.95,36,54,5.4,RU,1632113049
Ishigaki,24.3448,124.1572,32.07,66,75,4.63,JP,1632112917
San Martín,-33.081,-68.4681,16.3,33,82,7.28,AR,1632113052
Marsá Maţrūḩ,31.3525,27.2453,23.11,94,75,2.57,EG,1632113054
Vao,-22.6667,167.4833,20.1,65,53,7.09,NC,1632112930
Mossamedes,-15.1961,12.1522,15.59,85,47,2.7,AO,1632113056
Ulm,48.3984,9.9916,11.4,94,100,1.25,DE,1632113057
Fairbanks,64.8378,-147.7164,6.62,70,75,1.54,US,1632112609
Dzerzhinskoye,56.8344,95.2283,13.61,60,100,4.98,RU,1632112849
Jackson,42.4165,-122.8345,12.26,79,78,0.76,US,1632113060
Marsh Harbour,26.5412,-77.0636,28.14,75,90,3.92,BS,1632113061
Mount Gambier,-37.8333,140.7667,9.95,62,75,10.8,AU,1632113062
East London,-33.0153,27.9116,14.52,77,75,5.14,ZA,1632112647
Yenagoa,4.9247,6.2642,23.56,95,60,1.56,NG,1632112928
Zaozyornoye,45.1582,33.2787,18.3,71,17,3.02,UA,1632113064
Kiryat Gat,31.61,34.7642,23.27,61,0,0.11,IL,1632113066
Lagoa,39.05,-27.9833,20.51,65,79,5.08,PT,1632113067
Garoowe,8.4054,48.4845,26.14,59,97,9.64,SO,1632113070
Northam,51.0333,-4.2167,11.91,94,2,2.39,GB,1632113039
Nizhnevartovsk,60.9344,76.5531,6.01,87,90,4,RU,1632112841
Dwārka,22.2394,68.9678,28.87,77,9,4.89,IN,1632112823
Tuburan,6.6439,122.2736,28.05,76,100,1.35,PH,1632112862
Atar,20.5169,-13.0499,28.76,41,17,4.38,MR,1632113074
Ruska Poliana,49.417,31.9201,8.03,83,100,5.1,UA,1632113075
Krasnyye Chetai,55.6887,46.1386,4.39,65,100,5.04,RU,1632113077
Lahat,-3.8,103.5333,31.97,55,58,1.37,ID,1632113079
Orlik,52.5178,99.825,18.9,28,20,2.78,RU,1632113080
Boca do Acre,-8.7522,-67.3978,24.22,77,19,1.1,BR,1632113081
Kupang,-10.1667,123.5833,34.32,33,20,7.72,ID,1632112848
Ballina,-28.8667,153.5667,27.62,51,23,8.75,AU,1632113083
Richards Bay,-28.783,32.0377,18.65,72,97,6.95,ZA,1632112797
Lata,40.1629,-8.3327,15.04,94,22,1.21,PT,1632113085
Saurimo,-9.6608,20.3916,18.33,80,79,1.1,AO,1632113087
Sierra Vista,31.5545,-110.3037,22.23,57,1,3.6,US,1632113089
Husavik,66.0449,-17.3389,6.95,84,100,4.83,IS,1632112825
Maniitsoq,65.4167,-52.9,0.98,56,19,4.66,GL,1632112692
Lorengau,-2.0226,147.2712,28.68,71,44,2.98,PG,1632112684
Vila Velha,-20.3297,-40.2925,22.97,88,90,2.57,BR,1632113092
Griffith,41.5284,-87.4237,22.96,74,1,0,US,1632113093
Barrow,71.2906,-156.7887,-0.99,93,90,8.75,US,1632112731
Dikson,73.5069,80.5464,1.6,75,100,6.87,RU,1632112646
Grindavik,63.8424,-22.4338,10.26,100,90,6.17,IS,1632113096
Aklavik,68.2191,-135.0107,4.46,61,23,2.67,CA,1632113097
Kumul,42.8,93.45,30.83,11,2,2.06,CN,1632113099
Miles City,46.4083,-105.8406,11.54,93,90,2.57,US,1632113100
Bilibino,68.0546,166.4372,-3.14,65,98,2.13,RU,1632112922
Fatehpur,25.9333,80.8,31.3,62,1,2,IN,1632112822
Devgarh,25.5333,73.9,26.29,76,80,5.6,IN,1632112823
Saint Anthony,45.0205,-93.218,24.98,64,1,1.34,US,1632113103
Najrān,17.4924,44.1277,25.36,15,5,0.52,SA,1632113104
Burē,10.7,37.0667,15.57,87,1,0.78,ET,1632113106
Half Moon Bay,37.4636,-122.4286,15.56,81,1,0,US,1632113108
Barbacoas,1.6715,-78.1398,23.42,97,92,0.6,CO,1632113109
Bambous Virieux,-20.3428,57.7575,22.14,68,40,4.63,MU,1632113111
Ouahigouya,13.5828,-2.4216,25.91,70,79,4.48,BF,1632112974
Dingzhou,38.5131,114.9956,25.06,62,81,3.21,CN,1632113113
Caravelas,-17.7125,-39.2481,21.25,85,41,1.92,BR,1632113114
El Real de Santa Maria,8.109,-77.7325,23.98,98,100,0.08,PA,1632113116
Baykit,61.67,96.37,10.14,77,94,1.19,RU,1632113117
Haines Junction,60.7522,-137.5108,7.97,61,97,3.09,CA,1632113119
Torbay,47.6666,-52.7314,12.47,97,90,9.77,CA,1632112725
Vila,42.0304,-8.1588,9.66,84,46,2.78,PT,1632113121
Saint Paul Harbor,57.79,-152.4072,7.93,86,79,3.89,US,1632112739
Itoman,26.1247,127.6694,29.01,70,20,4.12,JP,1632113123
Obigarm,38.7173,69.7088,24.12,16,0,1.93,TJ,1632113125
Pangnirtung,66.1451,-65.7125,-0.82,80,16,4.06,CA,1632112637
Acaraú,-2.8856,-40.12,25.45,80,43,6.87,BR,1632113126
Carnarvon,-24.8667,113.6333,34.04,8,0,7.72,AU,1632112710
Buluang,13.3068,123.3425,29.26,77,98,0.77,PH,1632113130
Xinzhi,36.4989,111.7047,23.04,58,96,1.55,CN,1632113131
Tuatapere,-46.1333,167.6833,10.67,79,93,4.02,NZ,1632113132
Fereydūnkenār,36.6864,52.5225,22.17,71,5,2.78,IR,1632113132
Trairi,-3.2778,-39.2689,25.51,76,66,6.35,BR,1632113134
Supe,-10.8,-77.7333,15.44,83,32,3.75,PE,1632113136
Āsosa,10.0667,34.5333,17.65,93,9,1.71,ET,1632113138
Sosnovo-Ozerskoye,52.5249,111.5418,18.19,50,1,1.83,RU,1632112908
Zatoka,46.0725,30.4654,9.3,73,48,5.68,UA,1632113140
Araouane,18.9048,-3.5265,32.79,17,1,2.81,ML,1632113142
Road Town,18.4167,-64.6167,25.05,74,2,6.28,VG,1632113143
Kaitangata,-46.2817,169.8464,14.6,63,73,1.36,NZ,1632112717
Great Bend,38.3645,-98.7648,25.81,51,1,3.13,US,1632113145
Hamilton,39.1834,-84.5333,22.7,86,1,0.45,US,1632113146
Fare,-16.7,-151.0167,25.66,75,27,7.59,PF,1632113148
Escanaba,45.7453,-87.0646,18.85,94,1,2.06,US,1632113150
Clyde River,70.4692,-68.5914,-2.07,60,91,1.79,CA,1632112670
Faanui,-16.4833,-151.75,25.99,74,47,8.46,PF,1632112745
Castro,-24.7911,-50.0119,17.11,87,86,1.65,BR,1632113152
Mackay,-21.15,149.2,24.99,61,10,4.63,AU,1632113100
Viking,53.1001,-111.7684,3.39,77,49,2.89,CA,1632113155
Coyhaique,-45.5752,-72.0662,4.97,75,0,3.09,CL,1632113156
Ratholo,-22.7245,27.572,15.56,56,0,2.15,BW,1632113158
Nanortalik,60.1432,-45.2371,2.5,90,38,4.56,GL,1632113160
Christchurch,-43.5333,172.6333,13.53,60,15,3.13,NZ,1632113100
Buraidah,26.326,43.975,27.25,18,1,4.78,SA,1632113162
Herat Province,34.5,62,25.07,18,0,3.78,AF,1632113164
Guararema,-23.415,-46.035,18.64,92,100,0.99,BR,1632113167
Scheemda,53.1778,6.9711,11.48,86,100,2.85,NL,1632113168
Vzmorye,54.6961,20.2361,8.05,69,100,4.41,RU,1632113170
Tilichiki,60.4667,166.1,9.1,86,100,5.71,RU,1632112922
Ribeira Grande,38.5167,-28.7,20.81,72,18,4.75,PT,1632112560
Kushima,31.4583,131.2333,28.02,71,57,3.52,JP,1632113173
Hearst,49.6835,-83.6665,20.14,73,78,6.25,CA,1632113173
Enzan,35.7,138.7333,29.92,40,4,2.39,JP,1632113174
Salinas,36.6777,-121.6555,15.76,77,1,4.12,US,1632113175
Tevaitoa,-16.7833,-151.5,25.89,73,30,8.56,PF,1632113176
Boralday,43.3578,76.8594,15.92,36,75,3,KZ,1632113178
Luau,-10.7073,22.2247,19.59,73,63,1.37,AO,1632113178
Muscat,23.6139,58.5922,32.01,62,3,1.87,OM,1632112948
Constitución,-35.3333,-72.4167,9.2,72,0,3.45,CL,1632113181
Smidovich,48.6,133.8167,19.09,35,41,5.69,RU,1632113182
Orapa,-21.2833,25.3667,18.78,35,0,5.05,BW,1632113183
San Joaquin,37.9333,-121.3011,19.55,64,1,7.2,US,1632113185
Buchanan,5.8808,-10.0467,24.09,90,100,1.87,LR,1632112965
Krasnosel'kup,65.7,82.4667,4.21,90,100,6.44,RU,1632113186
Bandarbeyla,9.4942,50.8122,27.62,66,95,11.43,SO,1632113188
Nouakchott,18.0858,-15.9785,26.96,65,8,6.14,MR,1632113071
Camopi,3.1655,-52.3158,21.41,99,48,0.9,GF,1632113190
Marovoay,-16.1,46.6333,24.08,51,48,4.64,MG,1632113192
West Bay,19.3667,-81.4167,28.68,84,62,0.89,KY,1632113194
Mnogovershinnyy,53.9353,139.9242,10.59,47,54,7.91,RU,1632112915
Katangli,51.7102,143.2326,14.28,47,28,8.16,RU,1632113196
Quelimane,-17.8786,36.8883,12.97,100,20,0.51,MZ,1632113197
Fortuna,40.5982,-124.1573,12.78,63,1,0.45,US,1632112716
Lebu,-37.6167,-73.65,7.57,85,3,6.42,CL,1632113200
Arman',59.7,150.1667,7.65,93,100,1.02,RU,1632112922
Laas,46.6166,10.7002,9.93,98,100,2.6,IT,1632113202
Crestview,30.7621,-86.5705,23.75,82,75,0.45,US,1632113204
Bonavista,48.6499,-53.1147,8,92,100,13.29,CA,1632113205
Vera Cruz,-12.6333,-41.0333,16.43,69,16,1.06,BR,1632113208
Baghdad,33.3406,44.4009,24.95,47,0,3.09,IQ,1632113111
Ondjiva,-17.0667,15.7333,17.47,32,20,3.12,AO,1632113211
Sinnamary,5.3833,-52.95,26.26,82,91,4.2,GF,1632113212
Penzance,50.1186,-5.5371,11.14,83,16,5.01,GB,1632113214
Bambanglipuro,-7.95,110.2833,28.35,64,69,6.41,ID,1632113216
Perth,-31.9333,115.8333,20.06,48,0,6.69,AU,1632113193
Sobrance,48.7445,22.1814,9.97,76,90,1,SK,1632113217
